rep_number,gt_ol_jersey,gt_dl_jersey,gt_start_frame,gt_end_frame,
1,71,58,50106,50139,
2,71,58,50333,50373,
3,60,85,50497,50522,
4,60,85,50653,50693,
5,54,6,50861,50904,
6,69,52,51284,51318,
7,69,52,51505,51546,
8,74,7,51744,51788,
9,74,7,52036,52065,
10,77,58,52343,52371,
11,77,58,52549,52593,
12,72,91,52738,52823,
13,72,91,53020,53055,
14,55,92,53344,53383,
15,55,99,53621,53669,
16,78,8,53827,53865,
17,78,8,54031,54070,
18,75,9,54478,54526,
19,75,9,54693,54734,
20,74,58,54870,54912,
21,74,58,55181,55224,
22,69,99,55374,55401,
23,69,99,55487,55523,
