session_name,rep_number,contact_onset_frame_manual
2024EastPractice1,1,18
2024EastPractice1,2,15
2024EastPractice1,3,11
2024EastPractice1,4,15
2024EastPractice1,6,15
2024EastPractice1,7,8
2024EastPractice1,8,18
2024EastPractice1,9,16
2024EastPractice1,11,13
2024EastPractice1,12,14
2024EastPractice1,13,14
2024EastPractice1,14,22
2024EastPractice1,16,16
2024EastPractice1,17,
2024EastPractice1,18,17
2024EastPractice2,1,16
2024EastPractice2,2,16
2024EastPractice2,3,14
2024EastPractice2,4,12
2024EastPractice2,5,17
2024EastPractice2,6,19
2024EastPractice2,7,15
2024EastPractice2,9,19
2024EastPractice2,10,18
2024EastPractice2,11,18
2024EastPractice2,12,19
2024EastPractice2,13,15
2024EastPractice2,14,
2024EastPractice2,15,21
2024EastPractice2,16,20
2024EastPractice2,17,20
2024EastPractice2,18,16
2024EastPractice2,19,17
2024EastPractice3,1,
2024EastPractice3,2,14
2024EastPractice3,3,15
2024EastPractice3,4,15
2024EastPractice3,5,17
2024EastPractice3,6,19
2024EastPractice3,7,14
2024EastPractice3,8,15
2024EastPractice3,9,19
2024EastPractice3,10,18
2024EastPractice3,11,15
2024EastPractice3,12,16
2024EastPractice3,13,16
2024EastPractice3,14,20
2024WestPractice1,1,14
2024WestPractice1,2,20
2024WestPractice1,3,13
2024WestPractice1,4,8
2024WestPractice1,5,18
2024WestPractice1,6,16
2024WestPractice1,7,16
2024WestPractice1,8,11
2024WestPractice1,9,17
2024WestPractice1,10,18
2024WestPractice1,11,19
2024WestPractice1,12,18
2024WestPractice1,13,21
2024WestPractice1,16,11
2024WestPractice1,17,15
2024WestPractice1,20,18
2024WestPractice1,21,18
2024WestPractice1,22,
2024WestPractice1,23,
2024WestPractice1,24,9
2024WestPractice1,25,14
2024WestPractice1,26,13
2024WestPractice1,27,12
2024WestPractice1,28,15
2024WestPractice1,29,15
2024WestPractice1,30,17
2024WestPractice1,31,21
2024WestPractice1,32,27
2024WestPractice1,33,17
2024WestPractice2,1,26
2024WestPractice2,2,22
2024WestPractice2,3,
2024WestPractice2,4,21
2024WestPractice2,5,15
2024WestPractice2,6,13
2024WestPractice2,7,19
2024WestPractice2,9,18
2024WestPractice2,10,17
2024WestPractice2,11,15
2024WestPractice2,12,19
2024WestPractice2,13,
2024WestPractice2,14,12
2024WestPractice2,15,9
2024WestPractice2,16,13
2024WestPractice2,17,14
2024WestPractice2,18,20
2024WestPractice2,19,21
2024WestPractice2,20,8
2024WestPractice2,21,27
2024WestPractice2,22,16
2024WestPractice2,23,13
2024WestPractice2,24,16
2024WestPractice3,1,17
2024WestPractice3,2,17
2024WestPractice3,3,9
2024WestPractice3,4,12
2024WestPractice3,5,12
2024WestPractice3,6,10
2024WestPractice3,7,9
2024WestPractice3,8,15
2024WestPractice3,9,15
2024WestPractice3,10,19
2024WestPractice3,12,18
2024WestPractice3,13,19
2024WestPractice3,14,18
2024WestPractice3,15,16
2024WestPractice3,16,7
2024WestPractice3,17,18
2024WestPractice3,18,17
2024WestPractice3,19,9
2024WestPractice3,20,10
2024WestPractice3,21,11
2024WestPractice3,22,18
