college_gsis_id,position,player_name,season,team,school_code,passing_attempts,passing_completions,passing_yards,passing_completion_percentage,passing_touchdowns,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_receptions,receiving_touchdowns,receiving_yards,defense_pass_breakups,defense_qb_hurries,defense_sacks,defense_solo_tackles,defense_total_tackles,defense_tackles_for_loss,defense_interceptions,defense_touchdowns,kickreturns_avg,kickreturns_long,kickreturns_no,kickreturns_touchdowns,kickreturns_yards,puntreturns_avg,puntreturns_long,puntreturns_no,puntreturns_td,puntreturns_yds,total_fumbles,total_fumbles_lost
158332,DT,Garrett Marino,2017,UAB,ALBI,,,,,,,,,,,,,2,3,1,18,29,7.5,,0,,,,,,,,,,,0,0
158332,DT,Garrett Marino,2018,UAB,ALBI,,,,,,,3,5,0,1,0,-9,0,5,3.5,10,19,6.5,,1,,,,,,,,,,,0,0
158332,DT,Garrett Marino,2019,UAB,ALBI,,,,,,,,,,,,,7,4,5.5,29,42,13,,0,,,,,,,,,,,0,0
172387,DS,Austin Lee,2017,BYU,UTBY,,,,,,,,,,,,,0,0,0,10,15,0,,0,,,,,,,,,,,0,0
172387,DS,Austin Lee,2018,BYU,UTBY,1,0,0,0,0,0,,,,,,,1,0,0,21,34,1,2,0,,,,,,,,,,,,
172387,DS,Austin Lee,2019,BYU,UTBY,,,,,,,,,,,,,4,0,0,36,55,2,1,1,,,,,,,,,,,,
172698,WR,Nick Westbrook,2018,Indiana,INUN,,,,,,,,,,42,4,590,,,,,,,,,,,,,,,,,,,,
172698,WR,Nick Westbrook,2019,Indiana,INUN,,,,,,,,,,42,5,572,,,,,,,,,,,,,,,,,,,,
172890,DC,Chris Williamson,2018,Minnesota,MNUN,,,,,,,,,,,,,4,0,1,20,32,3.5,,0,,,,,,,,,,,,
172890,DC,Chris Williamson,2019,Minnesota,MNUN,,,,,,,,,,,,,3,1,2.5,36,56,4,1,1,,,,,,,,,,,,
173519,QB,Kelly Bryant,2017,Clemson,SCCL,398,262,2802,0.658,13,8,192,665,11,,,,0,0,0,4,4,0,,0,,,,,,,,,,,4,2
173519,QB,Kelly Bryant,2018,Clemson,SCCL,54,36,461,0.667,2,1,30,130,2,,,,,,,,,,,,,,,,,,,,,,2,0
173519,QB,Kelly Bryant,2019,Missouri,MOUN,292,181,2215,0.62,15,6,106,242,1,,,,0,0,0,2,2,0,,0,,,,,,,,,,,4,2
173587,DS,Jeremiah Dinson,2017,Auburn,ALAU,,,,,,,,,,,,,3,0,1,27,41,2.5,,0,,,,,,,,,,,0,0
173587,DS,Jeremiah Dinson,2018,Auburn,ALAU,,,,,,,,,,,,,3,1,1,25,49,3.5,2,0,,,,,,,,,,,,
173587,DS,Jeremiah Dinson,2019,Auburn,ALAU,,,,,,,,,,,,,1,0,2,57,88,4.5,2,0,,,,,,,,,,,0,0
173646,DC,Jace Whittaker,2017,Arizona,AZUN,,,,,,,,,,,,,13,0,0,39,46,2,3,1,,,,,,,,,,,,
173646,DC,Jace Whittaker,2019,Arizona,AZUN,,,,,,,,,,,,,6,0,1,47,55,2,3,0,,,,,,,,,,,,
174215,DC,John Reid,2018,Penn State,PAST,,,,,,,,,,,,,8,2,0,17,24,1,2,0,,,,,,,,,,,,
174215,DC,John Reid,2019,Penn State,PAST,,,,,,,,,,,,,8,1,1,26,37,2.5,2,1,,,,,,,,,,,,
174315,DE,James Smith-Williams,2017,NC State,NCST,,,,,,,,,,,,,0,0,0.5,5,10,1.5,,0,,,,,,11,11,1,0,11,0,0
174315,DE,James Smith-Williams,2018,NC State,NCST,,,,,,,,,,,,,2,4,6,16,36,9,,0,,,,,,,,,,,0,0
174315,DE,James Smith-Williams,2019,NC State,NCST,,,,,,,,,,,,,0,7,1,9,20,1,,0,,,,,,,,,,,,
174449,DS,Rodney Clemons,2017,SMU,TXMU,,,,,,,,,,,,,10,0,1,55,67,4,1,0,,,,,,,,,,,0,0
174449,DS,Rodney Clemons,2018,SMU,TXMU,,,,,,,,,,,,,4,0,0,54,72,2.5,1,0,,,,,,,,,,,,
174449,DS,Rodney Clemons,2019,SMU,TXMU,,,,,,,,,,,,,9,0,0,48,77,3,4,0,,,,,,,,,,,0,0
174850,RB,LeVante Bellamy,2017,Western Michigan,MIWE,,,,,,,49,394,3,7,0,54,,,,,,,,,18,18,1,0,18,,,,,,,
174850,RB,LeVante Bellamy,2018,Western Michigan,MIWE,,,,,,,205,1228,6,30,1,185,0,0,0,1,1,0,,0,18.2,27,14,0,255,,,,,,4,3
174850,RB,LeVante Bellamy,2019,Western Michigan,MIWE,,,,,,,266,1472,23,15,0,55,,,,,,,,,,,,,,,,,,,1,1
181911,OB,Casey Toohill,2017,Stanford,CAST,,,,,,,,,,,,,0,2,1,10,18,3,1,0,,,,,,,,,,,0,0
181911,OB,Casey Toohill,2018,Stanford,CAST,,,,,,,,,,,,,3,6,3,14,28,5,,0,,,,,,,,,,,,
181911,OB,Casey Toohill,2019,Stanford,CAST,,,,,,,,,,,,,1,10,8,37,57,11.5,,0,,,,,,,,,,,,
182164,IB,Dante Olson,2017,Montana,MTUN,,,,,,,,,,,,,0,0,0,3,3,0,,0,,,,,,,,,,,,
182164,IB,Dante Olson,2019,Montana,MTUN,,,,,,,,,,,,,0,0,0,10,14,0,,0,,,,,,,,,,,,
190013,DE,Joe Gaziano,2017,Northwestern,ILNW,,,,,,,,,,,,,5,12,9,23,35,13,,0,,,,,,,,,,,,
190013,DE,Joe Gaziano,2018,Northwestern,ILNW,,,,,,,,,,,,,3,8,7.5,27,44,12.5,,0,,,,,,,,,,,0,0
190013,DE,Joe Gaziano,2019,Northwestern,ILNW,,,,,,,,,,,,,5,3,9,34,49,17,,0,,,,,,,,,,,0,0
191527,WR,Ja'Marcus Bradley,2017,Louisiana,LASW,3,0,0,0,0,0,2,25,0,39,2,475,1,0,0,0,0,0,,0,,,,,,,,,,,,
191527,WR,Ja'Marcus Bradley,2018,Louisiana,LASW,1,1,21,1,0,0,1,5,0,40,10,608,,,,,,,,,20.2,53,13,0,263,6.8,24,5,0,34,1,0
191527,WR,Ja'Marcus Bradley,2019,Louisiana,LASW,,,,,,,,,,60,10,906,,,,,,,,,19.3,46,10,0,193,,,,,,1,0
193362,DS,Jordan Glasgow,2017,Michigan,MIUN,,,,,,,,,,,,,0,0,0,7,11,0,,0,,,,,,,,,,,,
193362,DS,Jordan Glasgow,2018,Michigan,MIUN,,,,,,,,,,,,,0,1,2,18,27,3,,0,,,,,,,,,,,,
193362,DS,Jordan Glasgow,2019,Michigan,MIUN,,,,,,,,,,,,,1,4,5,46,89,7,,0,,,,,,32,32,1,0,32,0,0
194434,DC,Keith Washington,2018,West Virginia,WVUN,,,,,,,,,,,,,9,0,1.5,33,40,2.5,3,1,,,,,,1,1,1,0,1,1,1
194434,DC,Keith Washington,2019,West Virginia,WVUN,,,,,,,,,,,,,9,0,0,18,23,0,3,0,,,,,,,,,,,0,0
194582,OG,Calvin Throckmorton,2017,Oregon,ORUN,,,,,,,,,,,,,0,0,0,0,1,0,,0,,,,,,,,,,,,
194582,OG,Calvin Throckmorton,2019,Oregon,ORUN,,,,,,,,,,,,,0,0,0,1,1,0,,0,,,,,,,,,,,,
194614,OB,Michael Divinity Jr.,2017,LSU,LAST,,,,,,,,,,,,,0,1,1,6,15,2.5,,0,,,,,,,,,,,0,0
194614,OB,Michael Divinity Jr.,2018,LSU,LAST,,,,,,,,,,,,,2,8,4,20,54,9.5,1,1,,,,,,,,,,,0,0
194614,OB,Michael Divinity Jr.,2019,LSU,LAST,,,,,,,,,,,,,0,3,3,17,22,4,,0,,,,,,,,,,,,
194644,IB,Rashad Smith,2017,Florida Atlantic,FLAT,,,,,,,,,,,,,5,4,6,49,99,12,,0,,,,,,,,,,,,
194644,IB,Rashad Smith,2018,Florida Atlantic,FLAT,,,,,,,,,,,,,1,2,1,34,83,5.5,4,0,,,,,,,,,,,0,0
194644,IB,Rashad Smith,2019,Florida Atlantic,FLAT,,,,,,,,,,,,,2,4,3.5,58,109,11.5,3,1,,,,,,,,,,,0,0
194664,DC,DeMarkus Acy,2017,Missouri,MOUN,,,,,,,,,,,,,3,0,0,35,48,5.5,,0,,,,,,,,,,,,
194664,DC,DeMarkus Acy,2018,Missouri,MOUN,,,,,,,,,,,,,9,0,0,23,28,1,3,0,,,,,,,,,,,,
194664,DC,DeMarkus Acy,2019,Missouri,MOUN,,,,,,,,,,,,,5,0,0,12,15,0,,0,,,,,,,,,,,0,0
194673,IB,John Houston Jr.,2017,USC,CASC,,,,,,,,,,,,,4,2,1,36,74,3,1,0,,,,,,,,,,,0,0
194673,IB,John Houston Jr.,2018,USC,CASC,,,,,,,,,,,,,5,0,1,32,53,1.5,,0,,,,,,,,,,,,
