college_gsis_id,rookie_season,player_name,position,draft_season,draft_round,draft_overall_selection,scrambles,qb_pressures,qb_pressure_to_sack_rate,inside_runs,outside_runs,change_of_direction_runs,designed_qb_runs,man_coverage_targets,zone_coverage_targets,pressures_allowed,pressures,pressure_rate,run_defense_tackles,primary_in_coverage_total,man_coverage_responsibility_total,primary_in_coverage_yards_allowed,total_snaps,passing_attempts,passing_dropbacks,passing_completions,passing_completion_percentage,passing_yards,passing_touchdowns,passing_sacks,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_yards_per_route_run,receiving_touchdowns,receiving_yards_after_catch,defense_interceptions,defense_pass_breakups
196601,2020,Khalil Davis,DT,2020,6,194,,,,,,,,,,,2,0.083333333,2,,,,41,,,,,,,,,,,,,,,,,,,
305707,2024,Dallas Gant,IB,2024,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,
316846,2023,Moro Ojomo,DT,2023,7,249,,,,,,,,,,,1,0.026315789,3,,,,84,,,,,,,,,,,,,,,,,,,
196251,2020,Alex Highsmith,DE,2020,3,102,,,,,,,,,,,24,0.11764705882352941,32,10,3,60,701,,,,,,,,,,,,,,,,,,1,1
282907,2022,Samori Toure,WR,2022,7,258,,,,,,,,1,8,,,,,,,,114,,,,,,,,,,,,10,5,82,1.1081081081081081,1,11,,
304601,2022,James Houston,IB,2022,6,217,,,,,,,,,,,16,0.17777777777777778,1,,2,,211,,,,,,,,,,,,,,,,,,,
279737,2020,John Penisini,DT,2020,6,197,,,,,,,,,,,1,0.004081633,28,,,,583,,,,,,,,,,,,,,,,,,,
325360,2024,Caedan Wallace,OG,2024,3,68,,,,,,,,,,5,,,,,,,145,,,,,,,,,,,,,,,,,,,
259451,2020,Parnell Motley,DC,2020,,,,,,,,,,,,,,,3,11,15,118,104,,,,,,,,,,,,,,,,,,,1
324695,2024,Darius Muasau,IB,2024,6,183,,,,,,,,,,,2,0.090909091,36,14,43,110,683,,,,,,,,,,,,,,,,,,1,1
283380,2022,Brock Hoffman,OC,2022,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
308621,2023,Starling Thomas,DC,2023,,,,,,,,,,,,,,,9,42,68,368,541,,,,,,,,,,,,,,,,,,,5
280246,2022,Nephi Sewell,IB,2022,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,
307301,2023,Kearis Jackson,WR,2023,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
279802,2022,Xavier Newman-Johnson,OG,2022,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
305682,2022,Kyle Philips,WR,2022,5,163,,,,,,,,3,6,,,,,,,,71,,,,,,,,,,,,13,8,78,1.9024390243902438,,21,,
300374,2023,Xazavian Valladay,RB,2023,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
327944,2024,Mohamed Kamara,DE,2024,5,158,,,,,,,,,,,3,0.23076923076923078,1,1,,11,56,,,,,,,,,,,,,,,,,,,
324884,2023,Gervarrius Owens,DS,2023,7,254,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,
278868,2022,Zachary Thomas,OT,2022,6,186,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
259226,2020,James Robinson,RB,2020,,,0,1,1,135,103,27,0,12,43,11,,,,,,,641,,,,,,,,,240,1070,7,60,49,344,,3,394,,
305676,2023,Atonio Mafi,OG,2023,5,144,,,,,,,,,,30,,,,,,,508,,,,,,,,,,,,,,,,,,,
181911,2020,Casey Toohill,OB,2020,7,233,,,,,,,,,,,2,0.08,2,,,,119,,,,,,,,,,,,,,,,,,,
310508,2022,Marquan McCall,DT,2022,,,,,,,,,,,,,1,0.014084507042253521,15,,,,231,,,,,,,,,,,,,,,,,,,
266273,2020,Jon Runyan,OT,2020,6,192,,,,,,,,,,1,,,,,,,240,,,,,,,,,,,,,,,,,,,
300511,2024,Dallin Holker,TE,2024,,,,,,,,,,,4,1,,,,,,,104,,,,,,,,,,,,4,3,21,0.84,,13,,
195298,2020,Freddie Swain,WR,2020,6,214,,,,,,,,7,13,1,,,,,,,498,,,,,,,,,,,,21,13,159,,2,102,,
